cluster_id,n,log_e_para_multi,log_e_verb,log_e_full
87,52,-1.7455154844891474,-1.1050931233678563,-1.3748895922591169
88,52,-1.7935044337937853,165.5904080851944,164.89726090463446
89,52,-1.7779811580075635,-1.1050931233678563,-1.3859764413824602
90,51,-1.777904996047752,165.5904080851944,164.89726090463446
91,51,-1.797373928313605,165.5904080851944,164.89726090463446
92,51,-1.8029087324869697,165.5904080851944,164.89726090463446
93,51,-1.8005969499179615,-1.1605068604704092,-1.4301886329605034
94,51,-1.7978732878834536,-1.1605068604704092,-1.429247514860354
95,51,-1.7909416647160346,-1.1605068604704092,-1.4268448288428703
96,51,-1.8041977526179847,165.5904080851944,164.89726090463446
97,51,-1.8064801670531614,-1.1605068604704092,-1.432215763923141
98,51,-1.7867717154349412,165.5904080851944,164.89726090463446
99,51,-1.7787776117474676,-1.1605068604704092,-1.4226020977651586
100,51,-1.7868274650202491,-1.1605068604704092,-1.4254135871086797
101,51,-1.7993311882276353,-2.904443240832559,-2.2064172809624796
102,51,-1.801910007906617,-1.1605068604704092,-1.4306417401091225
103,51,-1.7909416647160346,-1.1605068604704092,-1.4268448288428703
104,51,-1.7814324176256155,-1.1605068604704092,-1.4235309423184948
105,51,-1.7746134401782503,-1.1605068604704092,-1.4211419358989041
106,51,-1.797373928313605,165.5904080851944,164.89726090463446
107,51,-1.7215311853399649,-2.4047423321642984,-2.005890265047956
108,51,-1.7215311853399649,-2.4047423321642984,-2.005890265047956
109,51,-1.7850610253040466,-2.4047423321642984,-2.0476499773354235
110,51,-1.7215311853399649,-1.1605068604704092,-1.402180883014505
111,51,-1.7215311853399649,-2.4047423321642984,-2.005890265047956
112,51,-1.7310521306949629,-1.1605068604704092,-1.405629467193381
113,51,-1.747157386717337,-2.4047423321642984,-2.022844311377089
114,51,-1.7412278999511965,-2.4047423321642984,-2.018934504141479
115,51,-1.7215311853399649,-2.7165747757578913,-2.100081277716913
116,51,-1.817124863168413,-1.1605068604704092,-1.4358636795508644
117,51,-1.744029721364679,-1.1605068604704092,-1.410296413766749
118,51,-1.8070450484016964,165.5904080851944,164.89726090463446
119,51,-1.7412278999511965,-1.1605068604704092,-1.4092921162895786
120,51,-1.7804963641468996,-1.1605068604704092,-1.4232036255690579
121,51,-1.7863977841084053,-2.4047423321642984,-2.0485188625590647
122,51,-1.7963552277481458,165.5904080851944,164.89726090463446
123,50,-1.7967737156454513,-1.2165154872138433,-1.4651346772013822
124,50,-1.7932698140141468,-1.9651984557846855,-1.875543744560228
125,50,-1.795786097386801,-1.2165154872138433,-1.464780135277933
126,50,-1.7888345969278623,-2.4427208906296025,-2.0632576988121043
127,50,-1.7881625922160689,-2.9615064680540044,-2.2117935706466234
128,50,-1.785705014452013,-1.2165154872138433,-1.4611483081559515
129,50,-1.795786097386801,-1.2165154872138433,-1.464780135277933
130,50,-1.8056432954231072,-1.2165154872138433,-1.468308688794243
131,50,-1.8036507291171833,-2.702251038109968,-2.155239252222203
132,50,-1.7770818674593007,-1.9651984557846855,-1.8667231873209849
133,50,-1.795786097386801,-1.2165154872138433,-1.464780135277933
