scenario,pi0,alpha,rep,k_hat,fdr,tdp
S1_correct,0.5,0.1,63,1797,0.00667779632721202,0.7100238663484487
S1_correct,0.5,0.15,63,1914,0.009926854754440962,0.7537788385043755
S1_correct,0.5,0.2,63,1996,0.012024048096192385,0.7844073190135242
S1_correct,0.5,0.05,64,1430,0.0034965034965034965,0.5659253375694996
S1_correct,0.5,0.1,64,1725,0.0034782608695652175,0.6826846703733122
S1_correct,0.5,0.15,64,1844,0.00596529284164859,0.7279586973788721
S1_correct,0.5,0.2,64,1930,0.006735751295336788,0.76131850675139
S1_correct,0.5,0.05,65,1374,0.002183406113537118,0.5605069501226492
S1_correct,0.5,0.1,65,1695,0.007079646017699115,0.6880621422730989
S1_correct,0.5,0.15,65,1850,0.010810810810810811,0.7481602616516762
S1_correct,0.5,0.2,65,1949,0.013853258081067214,0.785772690106296
S1_correct,0.5,0.05,66,1500,0.004,0.5905138339920949
S1_correct,0.5,0.1,66,1753,0.005704506560182544,0.6889328063241107
S1_correct,0.5,0.15,66,1908,0.007861635220125786,0.7482213438735178
S1_correct,0.5,0.2,66,2015,0.01240694789081886,0.7865612648221344
S1_correct,0.5,0.05,67,1447,0.0027643400138217,0.5665488810365136
S1_correct,0.5,0.1,67,1755,0.0062678062678062675,0.684727129956812
S1_correct,0.5,0.15,67,1904,0.008928571428571428,0.7408716136631331
S1_correct,0.5,0.2,67,2000,0.0115,0.7762073027090695
S1_correct,0.5,0.05,68,1550,0.003870967741935484,0.6166134185303515
S1_correct,0.5,0.1,68,1812,0.005518763796909493,0.7196485623003195
S1_correct,0.5,0.15,68,1948,0.01026694045174538,0.7699680511182109
S1_correct,0.5,0.2,68,2024,0.0133399209486166,0.7975239616613419
S1_correct,0.5,0.05,69,1521,0.0039447731755424065,0.5943507257748136
S1_correct,0.5,0.1,69,1786,0.006718924972004479,0.6959591996861514
S1_correct,0.5,0.15,69,1942,0.009783728115345005,0.7544134954884268
S1_correct,0.5,0.2,69,2018,0.010901883052527254,0.783052177324441
S1_correct,0.5,0.05,70,1478,0.004736129905277402,0.5907630522088353
S1_correct,0.5,0.1,70,1761,0.0068143100511073255,0.7024096385542169
S1_correct,0.5,0.15,70,1878,0.007454739084132056,0.7485943775100402
S1_correct,0.5,0.2,70,1963,0.009169638308711156,0.7811244979919679
S1_correct,0.5,0.05,71,1579,0.005699810006333122,0.6185973207249803
S1_correct,0.5,0.1,71,1851,0.009184224743381956,0.7226162332545312
S1_correct,0.5,0.15,71,1971,0.010147133434804667,0.768715524034673
S1_correct,0.5,0.2,71,2060,0.012135922330097087,0.801812450748621
S1_correct,0.5,0.05,72,1427,0.002803083391730904,0.5676106900678102
S1_correct,0.5,0.1,72,1708,0.005269320843091335,0.6777024331870762
S1_correct,0.5,0.15,72,1859,0.009682625067240451,0.7343438372556841
S1_correct,0.5,0.2,72,1962,0.013761467889908258,0.7718388512165936
S1_correct,0.5,0.05,73,1568,0.004464285714285714,0.6104810324599139
S1_correct,0.5,0.1,73,1822,0.007135016465422613,0.7074696910441924
S1_correct,0.5,0.15,73,1962,0.009174311926605505,0.7602659366445053
S1_correct,0.5,0.2,73,2046,0.010752688172043012,0.79155260070395
S1_correct,0.5,0.05,74,1614,0.0024783147459727386,0.6571428571428571
S1_correct,0.5,0.1,74,1866,0.0037513397642015005,0.7587755102040816
S1_correct,0.5,0.15,74,1974,0.005572441742654508,0.8012244897959183
S1_correct,0.5,0.2,74,2052,0.009259259259259259,0.8297959183673469
S1_correct,0.5,0.05,75,1551,0.004513217279174726,0.6144050935137286
S1_correct,0.5,0.1,75,1791,0.00446677833612507,0.7095105451651412
S1_correct,0.5,0.15,75,1924,0.008835758835758836,0.7588539594110625
S1_correct,0.5,0.2,75,2004,0.00998003992015968,0.7894946279347393
S1_correct,0.5,0.05,76,1428,0.0,0.5659928656361475
S1_correct,0.5,0.1,76,1733,0.004039238315060588,0.6841062227506937
S1_correct,0.5,0.15,76,1893,0.007395668251452721,0.7447483154974237
