cluster_id,n,tau,f_anchor,log_e_para_multi,log_e_verb,log_e_full,log_e_para_g0.95,log_e_para_g0.96,log_e_para_g0.97,log_e_para_g0.98
13343,8,0.25,0.999999,22.40810987504284,-1.6526464491869355,21.714962694518423,2.3603402497781545,3.115738454841847,23.79439341770042,12.360000346963687
13344,8,0.25,0.875,10.973865460407932,-1.6526464491869355,10.280721563633925,2.3603402497781545,3.115738454841847,1.401372584280572,12.360000346963687
13345,8,0.25,0.999999,24.704975239712283,-1.7399434871842778,24.011828059155615,4.745994566145829,3.4842355366114894,26.091265929612682,13.576093439648092
13346,8,0.25,0.999999,35.223842747523186,-1.7193113774874862,34.53069556696324,2.5215891132861064,36.61011715499739,25.78802402353756,13.458212843359657
13347,8,0.25,0.999999,24.40173408073795,-1.7193113774874862,23.70858690018253,2.5215891132861064,3.441237046574064,25.78802402353756,13.458212843359657
13348,8,0.25,0.999999,24.40173408051447,-1.7193113774874862,23.70858689995905,1.280994812973708,1.5447777057271233,25.78802402353756,13.458212843359657
13349,8,0.25,0.999999,33.09518534925327,-1.6726299116302834,32.40203816869332,4.650199000549139,34.481429148899075,24.589126403783606,12.771074919490896
13350,8,0.25,0.875,12.391936131380746,-1.6985465016538401,11.698789710413847,2.504184542225728,3.4856049661518576,1.655531897269474,13.778178476112613
13351,8,0.25,0.999999,35.2238427475232,-1.7193113774874862,34.53069556696325,4.661234705710959,36.61011715499739,25.78802402353756,13.458212843359657
13352,8,0.25,0.999999,24.401734080668867,-1.7193113774874862,23.70858690011345,0.4119927983755508,3.441237046574064,25.78802402353756,13.458212843359657
13353,8,0.25,0.999999,36.08103443683653,-1.6985465016538401,35.387887256276585,4.659787594689282,37.46730794183913,26.689452641864,13.778178476112613
13354,8,0.25,0.999999,35.2238427475232,-1.7193113774874862,34.53069556696325,4.661234705710959,36.61011715499739,25.78802402353756,13.458212843359657
13355,8,0.25,0.875,1.7851766697666613,-1.7399434871842778,1.1210524865152212,2.56385591986876,1.557553372251975,1.628827034146426,0.011587230844032126
13356,8,0.25,0.999999,35.86367885041274,-1.7399434871842778,35.17053166985279,4.745994566145829,37.24995896071799,26.091265929612682,13.576093439648092
13357,8,0.25,0.875,12.391907133649813,-1.6985465016538401,11.69876071270494,2.504184542225728,1.5488335053643238,1.655531897269474,13.778178476112613
13358,8,0.25,0.999999,24.704975239235978,-1.7399434871842778,24.01182805867931,2.56385591986876,3.4842355366114894,26.091265929612682,13.576093439648092
13359,8,0.25,0.875,11.384838877828813,-1.6726299116302834,10.691693831359668,2.49581283573152,1.4102607134648277,1.4572278574824908,12.771074919490896
13360,8,0.25,0.999999,22.408109878309986,-1.6526464491869355,21.71496269778557,4.395130909886041,3.115738454841847,23.79439341770042,12.360000346963687
13361,8,0.25,0.999999,33.09518534925327,-1.6726299116302834,32.40203816869332,4.650199000549139,34.481429148899075,24.589126403783606,12.771074919490896
